Age,Age_Counts,Victim_Age,Victim_Age_Counts,Suspect_Age,Suspect_Age_Counts
0,83,0,82.0,0,1.0
1,206,1,202.0,1,4.0
2,315,2,291.0,2,24.0
3,390,3,349.0,3,41.0
4,345,4,322.0,4,23.0
5,295,5,262.0,5,33.0
6,277,6,241.0,6,36.0
7,292,7,265.0,7,27.0
8,268,8,235.0,8,33.0
9,291,9,256.0,9,35.0
10,303,10,261.0,10,42.0
11,374,11,292.0,11,82.0
12,496,12,375.0,12,121.0
13,928,13,653.0,13,275.0
14,1772,14,1104.0,14,668.0
15,3130,15,1835.0,15,1295.0
16,5220,16,2943.0,16,2277.0
17,7764,17,4169.0,17,3595.0
18,10476,18,5176.0,18,5300.0
19,11064,19,5698.0,19,5366.0
20,10319,20,5649.0,20,4670.0
21,10065,21,5486.0,21,4579.0
22,9811,22,5325.0,22,4486.0
23,9500,23,5264.0,23,4236.0
24,9232,24,5188.0,24,4044.0
25,8579,25,4895.0,25,3684.0
26,7740,26,4390.0,26,3350.0
27,7075,27,3989.0,27,3086.0
28,6388,28,3619.0,28,2769.0
29,5916,29,3275.0,29,2641.0
30,5512,30,3136.0,30,2376.0
31,5009,31,2861.0,31,2148.0
32,4923,32,2785.0,32,2138.0
33,4490,33,2559.0,33,1931.0
34,4362,34,2422.0,34,1940.0
35,4157,35,2312.0,35,1845.0
36,3570,36,2036.0,36,1534.0
37,3440,37,1967.0,37,1473.0
38,3096,38,1764.0,38,1332.0
39,2640,39,1530.0,39,1110.0
40,2645,40,1544.0,40,1101.0
41,2258,41,1324.0,41,934.0
42,2052,42,1209.0,42,843.0
43,2057,43,1242.0,43,815.0
44,1955,44,1167.0,44,788.0
45,1878,45,1095.0,45,783.0
46,1660,46,965.0,46,695.0
47,1592,47,961.0,47,631.0
48,1628,48,966.0,48,662.0
49,1445,49,862.0,49,583.0
50,1476,50,895.0,50,581.0
51,1326,51,805.0,51,521.0
52,1299,52,805.0,52,494.0
53,1284,53,741.0,53,543.0
54,1167,54,678.0,54,489.0
55,1145,55,701.0,55,444.0
56,976,56,606.0,56,370.0
57,913,57,571.0,57,342.0
58,859,58,507.0,58,352.0
59,808,59,452.0,59,356.0
60,779,60,515.0,60,264.0
61,672,61,419.0,61,253.0
62,601,62,391.0,62,210.0
63,541,63,342.0,63,199.0
64,462,64,287.0,64,175.0
65,453,65,292.0,65,161.0
66,382,66,248.0,66,134.0
67,386,67,252.0,67,134.0
68,368,68,237.0,68,131.0
69,300,69,193.0,69,107.0
70,305,70,211.0,70,94.0
71,296,71,202.0,71,94.0
72,219,72,133.0,72,86.0
73,210,73,139.0,73,71.0
74,197,74,126.0,74,71.0
75,189,75,132.0,75,57.0
76,187,76,124.0,76,63.0
77,143,77,107.0,77,36.0
78,105,78,70.0,78,35.0
79,107,79,82.0,79,25.0
80,120,80,92.0,80,28.0
81,107,81,76.0,81,31.0
82,80,82,57.0,82,23.0
83,89,83,60.0,83,29.0
84,73,84,55.0,84,18.0
85,66,85,47.0,85,19.0
86,53,86,31.0,86,22.0
87,44,87,32.0,87,12.0
88,39,88,32.0,88,7.0
89,39,89,33.0,89,6.0
90,33,90,20.0,90,13.0
91,19,91,13.0,91,6.0
92,16,92,14.0,92,2.0
93,7,93,4.0,93,3.0
94,10,94,8.0,94,2.0
95,5,95,5.0,0,
96,6,96,5.0,96,1.0
97,2,97,2.0,0,
98,1,0,,98,1.0
99,3,99,3.0,0,
100,1,100,1.0,0,
101,2,101,2.0,0,
209,1,209,1.0,0,
311,1,0,,311,1.0
